Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63846bd9de5cbb5ba8a552cd,62ea880dc81fd8900873de6a,APPROVED,2022-11-28T08:05:55.693000Z,2022-11-28T08:15:42.369000Z,2022-11-28T08:25:20.313000,2022-11-28T08:15:42.853957Z,587,CKBF49QL,50,English,54,Female,White,South Africa,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63846de55097f92813acd625,5f589d27b9bdc9016c605c7e,APPROVED,2022-11-28T08:14:29.206000Z,2022-11-28T08:26:14.853000Z,2022-11-28T08:47:22.969000,2022-11-28T08:26:15.336803Z,706,CKBF49QL,212,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63846eab5a912cfad4969c0f,62e291ef3aeb2fead2b1c47e,APPROVED,2022-11-28T08:17:49.608000Z,2022-11-28T08:39:44.601000Z,2022-11-28T08:47:58.149000,2022-11-28T08:39:45.141335Z,1315,CKBF49QL,188,English,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63846ec430e30c631db32607,612266b4f9ae4a5d04a21dd4,APPROVED,2022-11-28T08:19:25.174000Z,2022-11-28T08:35:18.624000Z,2022-11-28T08:48:08.484000,2022-11-28T08:35:19.158256Z,954,CKBF49QL,797,English,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63846ef4051eb979b5030bb3,5e0f5f8658a5c768bf461df8,APPROVED,2022-11-28T08:22:34.424000Z,2022-11-28T08:41:51.187000Z,2022-11-28T08:47:53.121000,2022-11-28T08:41:51.687186Z,1157,CKBF49QL,556,English,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63846ef9db8f4503da98a052,596155a998cf77000106f8d8,APPROVED,2022-11-28T08:19:09.487000Z,2022-11-28T08:35:17.050000Z,2022-11-28T08:47:38.039000,2022-11-28T08:35:17.585881Z,968,CKBF49QL,2304,"English, Scots",44,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63846f0c6e3abfa3e5464ea4,5f426fbe72408605abcfd1f0,APPROVED,2022-11-28T08:20:00.310000Z,2022-11-28T08:34:33.813000Z,2022-11-28T08:47:58.271000,2022-11-28T08:34:34.371569Z,874,CKBF49QL,209,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63846f1ef510853ce4b53060,60c9395dd973ea5ebe0ea6ad,APPROVED,2022-11-28T08:19:45.766000Z,2022-11-28T08:37:57.060000Z,2022-11-28T08:47:28.022000,2022-11-28T08:37:58.634702Z,1092,CKBF49QL,300,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63846f31120067b238ca9bca,5f48152a0624902afdb3db38,APPROVED,2022-11-28T08:20:04.506000Z,2022-11-28T08:42:22.232000Z,2022-11-28T08:47:33.027000,2022-11-28T08:42:22.956068Z,1338,CKBF49QL,493,English,45,Female,White,Poland,United Kingdom,United Kingdom,English,No,Full-Time
63846f57b3711c5903f121f3,6141f7a099e55e62d025435e,APPROVED,2022-11-28T08:21:05.612000Z,2022-11-28T08:33:33.900000Z,2022-11-28T08:47:33.155000,2022-11-28T08:33:34.446710Z,749,CKBF49QL,473,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
