Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64916a7d2700cab4a1ec0e68,648a18701640913de29ef479,APPROVED,2023-06-20T08:59:48.157000Z,2023-06-20T09:21:00.570000Z,2023-06-21T09:08:47.044000,2023-06-20T09:21:01.488716Z,1273,CKBF49QL,14,English,66,Male,Black,Nigeria,United States,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
64916cb572d5c04ed3125c0a,64591da889a081c3846afdae,APPROVED,2023-06-20T09:09:19.093000Z,2023-06-20T09:39:54.437000Z,2023-06-21T09:08:52.103000,2023-06-20T09:39:55.152323Z,1836,CKBF49QL,198,English,56,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
64916cc29a2589e7a638ab0e,5f8b25654f85cb21a4fa0fb3,APPROVED,2023-06-20T09:09:27.581000Z,2023-06-20T09:20:01.719000Z,2023-06-21T09:09:37.331000,2023-06-20T09:20:02.476109Z,635,CKBF49QL,509,English,35,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64916d58284c56f804adb106,60cefee15b44bd17785295f1,APPROVED,2023-06-20T09:12:03.119000Z,2023-06-20T09:33:03.151000Z,2023-06-21T09:08:57.117000,2023-06-20T09:33:03.837705Z,1261,CKBF49QL,1905,"English, Korean",67,Male,Asian,Korea,United States,Korea,Korean,No,Part-Time
64916db4cbe3a09a25adb0cb,5f0e9896f5e4e11e12c8f5ac,APPROVED,2023-06-20T09:13:27.515000Z,2023-06-20T09:20:31.108000Z,2023-06-21T09:09:02.142000,2023-06-20T09:20:31.719104Z,424,CKBF49QL,3693,English,24,Male,White,United States,United States,United States,English,No,Full-Time
64916dbe30903198eec0ad69,647660ef7bc13de7eaf0c76e,APPROVED,2023-06-20T09:13:40.130000Z,2023-06-20T10:16:49.204000Z,2023-06-21T09:13:28.375000,2023-06-20T10:16:50.283065Z,3790,CKBF49QL,41,English,65,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
64916e251e21c3efbc75cf02,6450fabd114a6b4f090914ed,APPROVED,2023-06-20T09:15:30.054000Z,2023-06-20T09:54:57.341000Z,2023-06-21T09:08:47.307000,2023-06-20T09:54:58.083086Z,2368,CKBF49QL,39,"English, German, French, Chinese",63,Male,Black,Nigeria,United States,United Kingdom,English,DATA_EXPIRED,Full-Time
64916e68d9737277d391cb35,644ad555d5ab6e41391987ef,APPROVED,2023-06-20T09:16:38.799000Z,2023-06-20T09:34:00.641000Z,2023-06-21T09:08:52.376000,2023-06-20T09:34:02.116973Z,1042,CKBF49QL,21,English,54,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
649170a7ba8652bfea0a5fc2,644e80f65a5c0e0d2f9a433b,APPROVED,2023-06-20T09:33:27.158000Z,2023-06-20T10:17:55.260000Z,2023-06-21T09:08:47.561000,2023-06-20T10:17:56.042624Z,2669,CKBF49QL,173,English,66,Male,Black,Nigeria,United States,Nigeria,English,No,DATA_EXPIRED
649170e579f839662137cb99,5f4fef64fd3fc113300fbb44,APPROVED,2023-06-20T09:27:06.819000Z,2023-06-20T09:39:33.330000Z,2023-06-21T09:09:27.244000,2023-06-20T09:39:34.078855Z,747,CKBF49QL,1217,"English, Vietnamese",36,Male,Asian,Vietnam,United States,Vietnam,Vietnamese,DATA_EXPIRED,DATA_EXPIRED
64917132571034debb05b02d,6007776684975127676717c4,APPROVED,2023-06-20T09:28:23.787000Z,2023-06-20T09:43:59.824000Z,2023-06-21T09:09:22.212000,2023-06-20T09:44:01.318194Z,937,CKBF49QL,2574,"English, Spanish",30,Male,Mixed,United States,United States,United States,Spanish,No,Part-Time
